USPS|GEOID|GEOIDFQ|NAME|ALAND|AWATER|ALAND_SQMI|AWATER_SQMI|INTPTLAT|INTPTLONG
AL|01|0400000US01|Alabama|131186429591|4580729056|50651.366|1768.629|32.739579|-86.843447
AK|02|0400000US02|Alaska|1479893380150|244326118163|571390.053|94334.846|63.347356|-152.839733
AZ|04|0400000US04|Arizona|294366238828|853868947|113655.445|329.681|34.203936|-111.606345
AR|05|0400000US05|Arkansas|134658642291|3122591253|51991.995|1205.639|34.895526|-92.444626
CA|06|0400000US06|California|403676564152|20288505023|155860.399|7833.436|37.155177|-119.543418
CO|08|0400000US08|Colorado|268419398775|1185110804|103637.314|457.574|38.993767|-105.508712
CT|09|0400000US09|Connecticut|12542101087|1816013585|4842.533|701.167|41.579864|-72.746657
DE|10|0400000US10|Delaware|5046707808|1399203452|1948.545|540.235|38.998566|-75.441644
DC|11|0400000US11|District of Columbia|158318961|18706999|61.127|7.223|38.904243|-77.016524
FL|12|0400000US12|Florida|138973813223|45960479273|53658.092|17745.441|28.398978|-82.5143
GA|13|0400000US13|Georgia|149487720450|4417264043|57717.534|1705.515|32.629579|-83.423511
HI|15|0400000US15|Hawaii|16634436568|11777362694|6422.592|4547.265|19.828167|-155.495042
ID|16|0400000US16|Idaho|214050683201|2390817981|82645.434|923.1|44.348422|-114.558854
IL|17|0400000US17|Illinois|143779367883|6215353468|55513.527|2399.761|40.102875|-89.152611
IN|18|0400000US18|Indiana|92786782808|1543815569|35825.179|596.071|39.901314|-86.291913
IA|19|0400000US19|Iowa|144660389024|1085298995|55853.691|419.036|42.070023|-93.493349
KS|20|0400000US20|Kansas|211754288230|1345197050|81758.791|519.384|38.498546|-98.38343
KY|21|0400000US21|Kentucky|102267794436|2383097595|39485.818|920.119|37.533684|-85.29298
LA|22|0400000US22|Louisiana|111927154861|23724485446|43215.318|9160.075|30.708319|-91.604621
ME|23|0400000US23|Maine|79888899089|11744562992|30845.278|4534.601|45.409284|-68.666616
MD|24|0400000US24|Maryland|25151298706|6979771758|9710.971|2694.905|38.946658|-76.674494
MA|25|0400000US25|Massachusetts|20204475228|7130575380|7800.992|2753.131|42.15652|-71.489592
MI|26|0400000US26|Michigan|146625947203|103860207077|56612.597|40100.652|44.844177|-85.660491
MN|27|0400000US27|Minnesota|206245435043|18936592419|79631.811|7311.46|46.315957|-94.199604
MS|28|0400000US28|Mississippi|121534611855|3914024462|46924.778|1511.213|32.686471|-89.656138
MO|29|0400000US29|Missouri|178052192662|2487934091|68746.339|960.597|38.350751|-92.456782
MT|30|0400000US30|Montana|376973522036|3866841435|145550.297|1492.996|47.051177|-109.634817
NE|31|0400000US31|Nebraska|198950563271|1378346850|76815.245|532.183|41.543305|-99.811864
NV|32|0400000US32|Nevada|284537074263|1839852286|109860.383|710.371|39.331093|-116.615147
NH|33|0400000US33|New Hampshire|23190733491|1025349624|8953.993|395.89|43.672794|-71.584189
NJ|34|0400000US34|New Jersey|19049443028|3533161265|7355.031|1364.161|40.107274|-74.665201
NM|35|0400000US35|New Mexico|314198529853|726526491|121312.736|280.513|34.434684|-106.131618
NY|36|0400000US36|New York|122049344560|19256566831|47123.517|7435.002|42.913397|-75.596272
NC|37|0400000US37|North Carolina|125935547374|13453873497|48623.989|5194.57|35.53971|-79.130864
ND|38|0400000US38|North Dakota|178694402328|4414688315|68994.297|1704.521|47.442174|-100.460826
OH|39|0400000US39|Ohio|105824499476|10273857263|40859.069|3966.759|40.41493|-82.711997
OK|40|0400000US40|Oklahoma|177664943367|3372936372|68596.821|1302.298|35.590081|-97.486779
OR|41|0400000US41|Oregon|248630742196|6168664862|95996.87|2381.735|43.971712|-120.622958
PA|42|0400000US42|Pennsylvania|115882017582|3397072484|44742.299|1311.617|40.904604|-77.827523
RI|44|0400000US44|Rhode Island|2677770297|1323680040|1033.893|511.076|41.596485|-71.52649
SC|45|0400000US45|South Carolina|77865991519|5074452542|30064.229|1959.257|33.874178|-80.854264
SD|46|0400000US46|South Dakota|196341986509|3387247814|75808.068|1307.824|44.446796|-100.238176
TN|47|0400000US47|Tennessee|106771660995|2344243062|41224.771|905.117|35.85846|-86.349634
TX|48|0400000US48|Texas|676660157338|19008164905|261259.958|7339.094|31.434703|-99.281824
UT|49|0400000US49|Utah|213921693698|5963352640|82595.631|2302.463|39.334993|-111.656333
VT|50|0400000US50|Vermont|23872664356|1030573104|9217.288|397.907|44.058954|-72.671017
VA|51|0400000US51|Virginia|102256455003|8529795937|39481.44|3293.373|37.522251|-78.668194
WA|53|0400000US53|Washington|172121688057|12545987222|66456.558|4844.033|47.407324|-120.5758
WV|54|0400000US54|West Virginia|62266655298|488773392|24041.291|188.716|38.647285|-80.618327
WI|55|0400000US55|Wisconsin|140295112685|29340578971|54168.248|11328.461|44.630907|-89.709392
WY|56|0400000US56|Wyoming|251458188895|1868027102|97088.554|721.249|42.989659|-107.544392
PR|72|0400000US72|Puerto Rico|8869703179|4921575413|3424.612|1900.231|18.217648|-66.410799
