date,state,fips,cases,deaths
2021-08-22,Alabama,1,663065,12000
2021-08-22,Alaska,2,82469,397
2021-08-22,Arizona,4,986082,18600
2021-08-22,Arkansas,5,435256,6674
2021-08-22,California,6,4328308,65127
2021-08-22,Colorado,8,603220,7234
2021-08-22,Connecticut,9,365856,8337
2021-08-22,Delaware,10,116771,1854
2021-08-22,District of Columbia,11,53342,1155
2021-08-22,Florida,12,3040590,42252
2021-08-22,Georgia,13,1277998,21478
2021-08-22,Guam,66,10312,145
2021-08-22,Hawaii,15,54038,561
2021-08-22,Idaho,16,213024,2284
2021-08-22,Illinois,17,1486875,26223
2021-08-22,Indiana,18,820507,14228
2021-08-22,Iowa,19,395167,6226
2021-08-22,Kansas,20,357266,5520
2021-08-22,Kentucky,21,536517,7572
2021-08-22,Louisiana,22,649915,11918
2021-08-22,Maine,23,73659,924
2021-08-22,Maryland,24,487190,9943
2021-08-22,Massachusetts,25,743735,18175
2021-08-22,Michigan,26,1039017,21384
2021-08-22,Minnesota,27,633649,7853
2021-08-22,Mississippi,28,406249,7991
2021-08-22,Missouri,29,754268,10880
2021-08-22,Montana,30,122430,1756
2021-08-22,Nebraska,31,236755,2569
2021-08-22,Nevada,32,378700,6280
2021-08-22,New Hampshire,33,104571,1397
2021-08-22,New Jersey,34,1074306,26752
2021-08-22,New Mexico,35,223796,4474
2021-08-22,New York,36,2235347,53620
2021-08-22,North Carolina,37,1146395,14072
2021-08-22,North Dakota,38,114837,1582
2021-08-22,Northern Mariana Islands,69,224,2
2021-08-22,Ohio,39,1180986,20689
2021-08-22,Oklahoma,40,524376,7676
2021-08-22,Oregon,41,252977,3033
2021-08-22,Pennsylvania,42,1271900,28076
2021-08-22,Puerto Rico,72,197597,2738
2021-08-22,Rhode Island,44,159710,2753
2021-08-22,South Carolina,45,681659,10213
2021-08-22,South Dakota,46,128295,2057
2021-08-22,Tennessee,47,961129,13041
2021-08-22,Texas,48,3455618,55450
2021-08-22,Utah,49,451732,2572
2021-08-22,Vermont,50,27050,270
2021-08-22,Virgin Islands,78,5594,45
2021-08-22,Virginia,51,734079,11647
2021-08-22,Washington,53,530203,6401
2021-08-22,West Virginia,54,177533,3008
2021-08-22,Wisconsin,55,714792,8368
2021-08-22,Wyoming,56,70671,809
