date,state,fips,cases,deaths,State,USPS,Region,Population,cases_per_100k,deaths_per_100k,Date,Vaccinated
2021-08-22,Alabama,1,663065,12000,Alabama,AL,South,5024279,13197.216953915178,238.84023956472163,2021-08-22,36.34
2021-08-22,Alaska,2,82469,397,Alaska,AK,West,733391,11244.88847013394,54.132106884322276,2021-08-22,46.62
2021-08-22,Arizona,4,986082,18600,Arizona,AZ,West,7151502,13788.460102507137,260.08522405503066,2021-08-22,47.03
2021-08-22,Arkansas,5,435256,6674,Arkansas,AR,South,3011524,14453.014487017204,221.6153681657526,2021-08-22,39.88
2021-08-22,California,6,4328308,65127,California,CA,West,39538223,10947.14853522881,164.71908714764444,2021-08-22,54.93
2021-08-22,Colorado,8,603220,7234,Colorado,CO,West,5773714,10447.694499588999,125.29196977889795,2021-08-22,56.12
2021-08-22,Connecticut,9,365856,8337,Connecticut,CT,Northeast,3605944,10145.91463428162,231.2015938128823,2021-08-22,65.13
2021-08-22,Delaware,10,116771,1854,Delaware,DE,South,989948,11795.67007559993,187.28256433671262,2021-08-22,54.32
2021-08-22,District of Columbia,11,53342,1155,District of Columbia,DC,South,689545,7735.825798171258,167.50175840590535,2021-08-22,56.65
2021-08-22,Florida,12,3040590,42252,Florida,FL,South,21538187,14117.204943944445,196.1725004987653,2021-08-22,51.56
2021-08-22,Georgia,13,1277998,21478,Georgia,GA,South,10711908,11930.628978516246,200.5058295870353,2021-08-22,40.43
2021-08-22,Hawaii,15,54038,561,Hawaii,HI,West,1455271,3713.260279356903,38.54952101704768,2021-08-22,54.66
2021-08-22,Idaho,16,213024,2284,Idaho,ID,West,1839106,11583.019140821682,124.19077530060801,2021-08-22,38.52
2021-08-22,Illinois,17,1486875,26223,Illinois,IL,Midwest,12812508,11604.870802812376,204.6671892809745,2021-08-22,50.35
2021-08-22,Indiana,18,820507,14228,Indiana,IN,Midwest,6785528,12092.014062870274,209.6815457839095,2021-08-22,45.61
2021-08-22,Iowa,19,395167,6226,Iowa,IA,Midwest,3190369,12386.24748422518,195.14984003417786,2021-08-22,50.9
2021-08-22,Kansas,20,357266,5520,Kansas,KS,Midwest,2937880,12160.673683063978,187.8905877707735,2021-08-22,47.19
2021-08-22,Kentucky,21,536517,7572,Kentucky,KY,South,4505836,11907.157739429487,168.04872614094253,2021-08-22,47.56
2021-08-22,Louisiana,22,649915,11918,Louisiana,LA,South,4657757,13953.390011544183,255.87423302675515,2021-08-22,39.86
2021-08-22,Maine,23,73659,924,Maine,ME,Northeast,1362359,5406.724659212439,67.82353256373688,2021-08-22,65.07
2021-08-22,Maryland,24,487190,9943,Maryland,MD,South,6177224,7886.876046586622,160.9622704308602,2021-08-22,60.61
2021-08-22,Massachusetts,25,743735,18175,Massachusetts,MA,Northeast,7029917,10579.570142862283,258.5379030790833,2021-08-22,65.29
2021-08-22,Michigan,26,1039017,21384,Michigan,MI,Midwest,10077331,10310.438349201788,212.19904357612148,2021-08-22,49.96
2021-08-22,Minnesota,27,633649,7853,Minnesota,MN,Midwest,5706494,11103.998356959632,137.61514513114358,2021-08-22,55.15
2021-08-22,Mississippi,28,406249,7991,Mississippi,MS,South,2961279,13718.700602003391,269.84961565593784,2021-08-22,36.78
2021-08-22,Missouri,29,754268,10880,Missouri,MO,Midwest,6154913,12254.730489285552,176.76935482272455,2021-08-22,44.0
2021-08-22,Montana,30,122430,1756,Montana,MT,West,1084225,11291.936636768198,161.95900297447486,2021-08-22,45.42
2021-08-22,Nebraska,31,236755,2569,Nebraska,NE,Midwest,1961504,12070.074799745502,130.9709284304289,2021-08-22,51.11
2021-08-22,Nevada,32,378700,6280,Nevada,NV,West,3104614,12197.973725558153,202.27957485213943,2021-08-22,46.65
2021-08-22,New Hampshire,33,104571,1397,New Hampshire,NH,Northeast,1377529,7591.201346759306,101.41347296499747,2021-08-22,59.27
2021-08-22,New Jersey,34,1074306,26752,New Jersey,NJ,Northeast,9288994,11565.3643440829,287.9967410895087,2021-08-22,60.42
2021-08-22,New Mexico,35,223796,4474,New Mexico,NM,West,2117522,10568.768588945002,211.2846997575468,2021-08-22,58.93
2021-08-22,North Carolina,37,1146395,14072,North Carolina,NC,South,10439388,10981.438758670527,134.79717393395092,2021-08-22,45.37
2021-08-22,North Dakota,38,114837,1582,North Dakota,ND,Midwest,779094,14739.81316760237,203.05637060483073,2021-08-22,41.15
2021-08-22,Ohio,39,1180986,20689,Ohio,OH,Midwest,11799448,10008.824141603913,175.33871076002876,2021-08-22,47.76
2021-08-22,Oklahoma,40,524376,7676,Oklahoma,OK,South,3959353,13243.982034438455,193.87005907278285,2021-08-22,42.38
2021-08-22,Oregon,41,252977,3033,Oregon,OR,West,4237256,5970.302478773999,71.57934285773624,2021-08-22,57.36
2021-08-22,Pennsylvania,42,1271900,28076,Pennsylvania,PA,Northeast,13002700,9781.814546209633,215.92438493543648,2021-08-22,54.27
2021-08-22,Puerto Rico,72,197597,2738,Puerto Rico,PR,South,3285874,6013.52942930861,83.32638439574981,2021-08-22,61.92
2021-08-22,Rhode Island,44,159710,2753,Rhode Island,RI,Northeast,1097379,14553.768570384525,250.87048321500595,2021-08-22,63.74
2021-08-22,South Carolina,45,681659,10213,South Carolina,SC,South,5118425,13317.74911227575,199.53403634907224,2021-08-22,42.29
2021-08-22,South Dakota,46,128295,2057,South Dakota,SD,Midwest,886667,14469.355462648322,231.9923939878218,2021-08-22,48.4
2021-08-22,Tennessee,47,961129,13041,Tennessee,TN,South,6910840,13907.556823772507,188.7035439975459,2021-08-22,40.79
2021-08-22,Texas,48,3455618,55450,Texas,TX,South,29145505,11856.435494941672,190.25232192751506,2021-08-22,46.13
2021-08-22,Utah,49,451732,2572,Utah,UT,West,3271616,13807.610673135234,78.61558324693362,2021-08-22,46.71
2021-08-22,Vermont,50,27050,270,Vermont,VT,Northeast,643077,4206.339209768037,41.985640910808506,2021-08-22,67.42
2021-08-22,Virginia,51,734079,11647,Virginia,VA,South,8631393,8504.756995771135,134.93766301685022,2021-08-22,56.31
2021-08-22,Washington,53,530203,6401,Washington,WA,West,7705281,6881.033929846296,83.07289507027713,2021-08-22,59.37
2021-08-22,West Virginia,54,177533,3008,West Virginia,WV,South,1793716,9897.49770866737,167.69655842953958,2021-08-22,39.46
2021-08-22,Wisconsin,55,714792,8368,Wisconsin,WI,Midwest,5893718,12128.031914658965,141.98168286979458,2021-08-22,53.13
2021-08-22,Wyoming,56,70671,809,Wyoming,WY,West,576851,12251.170579577742,140.2441878405342,2021-08-22,37.91
