,sum,sum,sum,sum
Year,2020,2021,2022,2023
state,,,,
Alabama,526388.0,4330518.0,7146725.0,1754751.0
Alaska,13147.0,163285.0,454003.0,116890.0
American Samoa,,0.0,8260.0,2788.0
Arizona,1048821.0,6590800.0,10925069.0,2692880.0
Arkansas,285868.0,2367660.0,4194348.0,1057908.0
California,3065113.0,22532428.0,33481697.0,8424694.0
Colorado,542870.0,2613748.0,4665643.0,1153862.0
Connecticut,1119863.0,2976567.0,3999268.0,986812.0
Delaware,145664.0,626824.0,1072467.0,268974.0
District of Columbia,146395.0,403369.0,494152.0,116717.0
Florida,2632238.0,15333245.0,27708002.0,7020942.0
Georgia,1363977.0,7791745.0,13387802.0,3328635.0
Guam,10424.0,61389.0,133543.0,34202.0
Hawaii,27227.0,222578.0,547973.0,147807.0
Idaho,109143.0,902682.0,1810558.0,441890.0
Illinois,2211390.0,9306526.0,13938486.0,3377350.0
Indiana,920773.0,5153509.0,8657235.0,2122132.0
Iowa,335716.0,2237680.0,3509540.0,870478.0
Kansas,187629.0,1949297.0,3218020.0,827528.0
Kentucky,285739.0,2694739.0,5763654.0,1479373.0
Louisiana,1184574.0,4216618.0,6332264.0,1525729.0
Maine,35654.0,328660.0,862330.0,237746.0
Maryland,912049.0,3421061.0,5379529.0,1343353.0
Massachusetts,2222455.0,6429075.0,7831612.0,1951144.0
Michigan,1837617.0,7460163.0,13399520.0,3413138.0
Minnesota,531337.0,2821148.0,4753802.0,1200700.0
Mississippi,572569.0,2904293.0,4537968.0,1088202.0
Missouri,530055.0,3857075.0,7548267.0,1940510.0
Montana,58866.0,652381.0,1235272.0,300283.0
Nebraska,132992.0,927516.0,1567003.0,406544.0
Nevada,319370.0,2202413.0,3931233.0,984925.0
New Hampshire,102996.0,499834.0,932348.0,242238.0
New Jersey,3817150.0,9406432.0,12317356.0,2941925.0
New Mexico,217023.0,1581838.0,2857608.0,737453.0
New York,8320598.0,18918470.0,25338652.0,6483341.0
North Carolina,734456.0,5081693.0,9096219.0,2402019.0
North Dakota,87065.0,586612.0,851094.0,204932.0
Northern Mariana Islands,544.0,926.0,12630.0,3362.0
Ohio,1062373.0,7327426.0,13944933.0,3410106.0
Oklahoma,233760.0,2676902.0,5213054.0,1334135.0
Oregon,128396.0,1151644.0,2827560.0,757873.0
Pennsylvania,2002641.0,10025434.0,16531624.0,4093547.0
Puerto Rico,134516.0,939789.0,1680491.0,469153.0
Rhode Island,262024.0,974120.0,1302673.0,316958.0
South Carolina,618708.0,3802518.0,6498922.0,1623497.0
South Dakota,86828.0,743847.0,1068056.0,260782.0
Tennessee,540030.0,4791671.0,9502505.0,2353945.0
Texas,2927740.0,20088968.0,32175258.0,7679552.0
Utah,111507.0,911303.0,1740612.0,431273.0
Vermont,16434.0,100847.0,243904.0,73212.0
Virgin Islands,3503.0,16615.0,42133.0,10588.0
Virginia,669043.0,4077397.0,7435951.0,1920467.0
Washington,504771.0,2360221.0,4822544.0,1273161.0
West Virginia,84127.0,1154358.0,2540649.0,654993.0
Wisconsin,410977.0,2972997.0,5290261.0,1330461.0
Wyoming,20734.0,316182.0,664976.0,162978.0
