Date,State,Vaccinated
2021-01-12,Alabama,0.15
2021-01-13,Alabama,0.19
2021-01-14,Alabama,
2021-01-15,Alabama,0.28
2021-01-16,Alabama,
2021-01-17,Alabama,
2021-01-18,Alabama,
2021-01-19,Alabama,0.33
2021-01-20,Alabama,0.37
2021-01-21,Alabama,0.44
2021-01-22,Alabama,0.51
2021-01-23,Alabama,0.56
2021-01-24,Alabama,0.61
2021-01-25,Alabama,0.61
2021-01-26,Alabama,0.63
2021-01-27,Alabama,0.69
2021-01-28,Alabama,0.76
2021-01-29,Alabama,0.9
2021-01-30,Alabama,1.1
2021-01-31,Alabama,1.13
2021-02-01,Alabama,1.15
2021-02-02,Alabama,1.2
2021-02-03,Alabama,1.28
2021-02-04,Alabama,1.41
2021-02-05,Alabama,1.56
2021-02-06,Alabama,1.72
2021-02-07,Alabama,1.76
2021-02-08,Alabama,1.8
2021-02-09,Alabama,1.94
2021-02-10,Alabama,2.09
2021-02-11,Alabama,2.26
2021-02-12,Alabama,2.49
2021-02-13,Alabama,2.71
2021-02-14,Alabama,2.79
2021-02-15,Alabama,
2021-02-16,Alabama,3.04
2021-02-17,Alabama,3.15
2021-02-18,Alabama,3.37
2021-02-19,Alabama,3.92
2021-02-20,Alabama,4.37
2021-02-21,Alabama,4.48
2021-02-22,Alabama,4.65
2021-02-23,Alabama,4.88
2021-02-24,Alabama,5.17
2021-02-25,Alabama,5.48
2021-02-26,Alabama,5.83
2021-02-27,Alabama,6.28
2021-02-28,Alabama,6.39
2021-03-01,Alabama,6.45
2021-03-02,Alabama,6.73
2021-03-03,Alabama,7.07
2021-03-04,Alabama,7.45
2021-03-05,Alabama,7.81
2021-03-06,Alabama,8.2
2021-03-07,Alabama,8.3
2021-03-08,Alabama,8.36
2021-03-09,Alabama,8.57
2021-03-10,Alabama,8.87
2021-03-11,Alabama,9.23
2021-03-12,Alabama,9.63
2021-03-13,Alabama,10.05
2021-03-14,Alabama,10.15
2021-03-15,Alabama,10.22
2021-03-16,Alabama,10.44
2021-03-17,Alabama,10.68
2021-03-18,Alabama,10.88
2021-03-19,Alabama,11.16
2021-03-20,Alabama,11.45
2021-03-21,Alabama,11.56
2021-03-22,Alabama,11.61
2021-03-23,Alabama,11.82
2021-03-24,Alabama,12.03
2021-03-25,Alabama,12.25
2021-03-26,Alabama,12.48
2021-03-27,Alabama,12.71
2021-03-28,Alabama,12.82
2021-03-29,Alabama,12.88
2021-03-30,Alabama,13.12
2021-03-31,Alabama,13.4
2021-04-01,Alabama,13.74
2021-04-02,Alabama,14.09
2021-04-03,Alabama,14.38
2021-04-04,Alabama,14.48
2021-04-05,Alabama,14.51
2021-04-06,Alabama,14.79
2021-04-07,Alabama,15.19
2021-04-08,Alabama,15.59
2021-04-09,Alabama,16.08
2021-04-10,Alabama,16.55
2021-04-11,Alabama,16.71
2021-04-12,Alabama,16.81
2021-04-13,Alabama,17.22
2021-04-14,Alabama,17.71
2021-04-15,Alabama,18.21
2021-04-16,Alabama,18.67
2021-04-17,Alabama,19.08
2021-04-18,Alabama,19.24
2021-04-19,Alabama,19.3
2021-04-20,Alabama,19.71
2021-04-21,Alabama,20.14
2021-04-22,Alabama,20.61
2021-04-23,Alabama,21.09
2021-04-24,Alabama,21.51
2021-04-25,Alabama,21.67
2021-04-26,Alabama,21.75
2021-04-27,Alabama,22.02
2021-04-28,Alabama,22.41
2021-04-29,Alabama,22.87
2021-04-30,Alabama,23.32
2021-05-01,Alabama,23.69
2021-05-02,Alabama,23.77
2021-05-03,Alabama,23.83
2021-05-04,Alabama,24.06
2021-05-05,Alabama,24.45
2021-05-06,Alabama,24.5
2021-05-07,Alabama,25.3
2021-05-08,Alabama,25.78
2021-05-09,Alabama,25.92
2021-05-10,Alabama,25.98
2021-05-11,Alabama,25.98
2021-05-12,Alabama,26.24
2021-05-13,Alabama,26.81
2021-05-14,Alabama,27.21
2021-05-15,Alabama,27.49
2021-05-16,Alabama,27.55
2021-05-17,Alabama,27.55
2021-05-18,Alabama,27.79
2021-05-19,Alabama,27.79
2021-05-20,Alabama,28.19
2021-05-21,Alabama,28.29
2021-05-22,Alabama,28.49
2021-05-23,Alabama,28.71
2021-05-24,Alabama,28.71
2021-05-25,Alabama,28.87
2021-05-26,Alabama,28.95
2021-05-27,Alabama,29.03
2021-05-28,Alabama,29.15
2021-05-29,Alabama,29.2
2021-05-30,Alabama,29.21
2021-05-31,Alabama,
2021-06-01,Alabama,29.23
2021-06-02,Alabama,29.27
2021-06-03,Alabama,29.28
2021-06-04,Alabama,29.37
2021-06-05,Alabama,29.37
2021-06-06,Alabama,29.41
2021-06-07,Alabama,29.43
2021-06-08,Alabama,29.43
2021-06-09,Alabama,29.48
2021-06-10,Alabama,29.78
2021-06-11,Alabama,29.96
2021-06-12,Alabama,30.29
2021-06-13,Alabama,30.41
2021-06-14,Alabama,30.59
2021-06-15,Alabama,30.62
2021-06-16,Alabama,30.77
2021-06-17,Alabama,31.53
2021-06-18,Alabama,31.55
2021-06-19,Alabama,31.79
2021-06-20,Alabama,31.86
2021-06-21,Alabama,31.89
2021-06-22,Alabama,31.96
2021-06-23,Alabama,32.03
2021-06-24,Alabama,32.12
2021-06-25,Alabama,32.12
2021-06-26,Alabama,32.2
2021-06-27,Alabama,32.31
2021-06-28,Alabama,32.43
2021-06-29,Alabama,32.51
2021-06-30,Alabama,32.52
2021-07-01,Alabama,32.67
2021-07-02,Alabama,32.67
2021-07-03,Alabama,32.89
2021-07-04,Alabama,32.9
2021-07-05,Alabama,
2021-07-06,Alabama,32.99
2021-07-07,Alabama,33.03
2021-07-08,Alabama,33.1
2021-07-09,Alabama,33.17
2021-07-10,Alabama,33.24
2021-07-11,Alabama,33.31
2021-07-12,Alabama,33.32
2021-07-13,Alabama,33.42
2021-07-14,Alabama,33.43
2021-07-15,Alabama,33.55
2021-07-16,Alabama,33.61
2021-07-17,Alabama,33.61
2021-07-18,Alabama,33.68
2021-07-19,Alabama,33.73
2021-07-20,Alabama,33.75
2021-07-21,Alabama,33.85
2021-07-22,Alabama,33.91
2021-07-23,Alabama,33.92
2021-07-24,Alabama,33.97
2021-07-25,Alabama,34.04
2021-07-26,Alabama,34.08
